subprefeitura,quantidade
ZONA NORTE,13088
ZONA OESTE,8562
ZONA SUL,4256
GRANDE BANGU,3979
CENTRO,2352
GRANDE TIJUCA,2125
JACAREPAGUA,2035
ILHAS,741
BARRA DA TIJUCA,215
