rota,id,escolas_postos,tipo_escola,logradouro,numero,bairro,subprefeitura,lat,lon,quantidade
88,566,EM BRANT HORTA,EM,RUA,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564
89,498,EM CHILE,EM,PRACA,15,OLARIA,ZONA NORTE,-22.84858,-43.26859,61
90,520,EM BARONESA DE SAAVEDRA,EM,RUA,-1,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
91,537,EM ARY QUINTELLA,EM,RUA,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234
92,118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,CEI,RUA,-1,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210
93,140,EM PEDRO LESSA,EM,RUA,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153
94,497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA,-1,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517
95,316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA,-1,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579
96,090,EM THOMAS JEFFERSON,EM,AVENIDA,-1,ACARI,ZONA NORTE,-22.81631,-43.34015,67
97,260,EM PROFESSOR JOSUE DE CASTRO,EM,AVENIDA,-1,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,0
98,069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
99,263,EM PADRE MANUEL DE NOBREGA,EM,PRACA,1215,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292
100,687,EM TASSO DA SILVEIRA,EM,RUA,-1,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0
101,477,EM PAULO MARANHAO,EM,RUA,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187
102,514,EM PARANA,EM,AVENIDA,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534
103,031,E.M. PARA,EM,AVENIDA,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115
104,603,EM ESPIRITO SANTO,EM,RUA,-1,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352
105,676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,EM,RUA,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180
106,390,E.M. ANDREA FONTES PEIXOTO,EM,RUA,-1,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257
107,623,EM CECILIA MEIRELES,EM,RUA,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416
108,570,EM HELENA LOPES ABRANCHES,EM,RUA,495,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466
109,527,EM VIRGILIO VARZEA,EM,RUA,155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179
110,690,ESCOLA MUNICIPAL FINLANDIA,EM,RUA,-1,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94
111,398,EM LEONARDO DA VINCI,EM,RUA,-1,BANGU,GRANDE BANGU,-22.89253,-43.47295,315
112,175,E.M. NACOES UNIDAS,EM,RUA,-1,BANGU,GRANDE BANGU,-22.88815,-43.47629,435
113,641,EM LAURO MULLER,EM,RUA,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269
114,495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,EM,AVENIDA,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128
115,080,E.M. JOSE MAURO DE VASCONCELOS,EM,RUA,-1,BANGU,GRANDE BANGU,-22.85044,-43.46686,599
116,568,EM VISCONDE DE PORTO SEGURO,EM,RUA,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362
117,586,CIEP ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA,-1,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194
118,689,EM MOACIR PADILHA,EM,RUA,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571
119,255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,CIEP,ESTRADA,-1,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591
120,573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CEI,RUA,-1,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207
121,311,EM PESTALOZZI,EM,RUA,-1,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162
122,560,EM ANDRE VIDAL DE NEGREIROS,EM,RUA,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
123,297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,EM,AVENIDA,-1,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0
124,246,EM FERNANDO AZEVEDO,EM,RUA,-1,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459
125,052,E.M PROFESSOR PAULO SILVA,EM,RUA,-1,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330
126,319,EM MARECHAL PEDRO CAVALCANTI,EM,RUA,-1,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537
127,323,CIEP ISMAEL NERY,CIEP,AVENIDA,-1,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106
